"id","memberID","last_name","first_name","groupID","selection_class","agenttype1","agenttype2","gender","other_name","img","birthday","authority_organization","birth_location","deathday","death_location","workplace","knows","shortbio","data_evaluation","authority_record","field5","field6","field7","field8","field9","field10","death_day","field12","field13","field14","field15","field16","field17","field18","field19","field20","field21"
1,"AbYJP1767","Ab Yberg","Josef Plazid",,"2",1,2,"m","","",1767-01-01 00:00:00,0,"",1824-01-01 00:00:00,"","","","1781 als Kadett Eintritt in sardin. Dien","1","",,,,,,,,,,,,,,,,,
2,"AvYT1795","Ab Yberg","Theodor",,"2",1,2,"m","","",1795-01-01 00:00:00,0,"",1869-01-01 00:00:00,"","","","A.s militär. Laufbahn begann 1815 an der","1","",,,,,,,,,,,,,,,,,
3,"AbJ1723","Abraham","Jakob",,"2",1,3,"m","","",1723-01-01 00:00:00,0,"",1800-01-01 00:00:00,"Berlin","Strelitz","","Seidenfabrikant in Zürich","1","",,,,,,,,,,,,,,,,,
4,"AfC1772","Affry","Charles, d'",,"2",1,2,"m","","",1772-01-01 00:00:00,0,"",1818-01-01 00:00:00,"Fribourg, Switzerland","Fribourg, Switzerland","","Swiss coronel during the Russian Campaig","4","D23245",,,,,,,,,,,,,,,,,
5,"dAfLAFF1743","Affry","Louis Auguste Philippe Frédéric François",,"2",1,3,"m","","",1743-01-01 00:00:00,0,"",1810-01-01 00:00:00,"","","","Erster Landamman der Schweiz unter der ""","1","",,,,,,,,,,,,,,,,,
6,"AlU1942","Altermatt","Urs",,"3",1,5,"m","","",1942-01-01 00:00:00,0,"",0000-00-00 00:00:00,"","","","According to Guido Stucki Paul König wri","1","",,,,,,,,,,,,,,,,,
7,"AlJG1685","Altmann","Johann-Georg",,"3",1,5,"m","","",1685-01-01 00:00:00,0,"",1758-01-01 00:00:00,"","","","resumes Ruchat and Stanyan in his public","1","",,,,,,,,,,,,,,,,,
8,"AmJK1803","Ammann","Johann Kaspar",,"1",1,2,"m","","",1803-01-01 00:00:00,0,"Hard (ZH)",1870-01-01 00:00:00,"","","","Oberrichter","1","",,,,,,,,,,,,,,,,,
9,"AmJFK1800","Amrhyn","Josef Franz Karl",,"2",1,2,"m","Josef Franz von Sales Johann Baptist Kar","",1800-01-01 00:00:00,0,"",1849-01-01 00:00:00,"Luzern","Luzern","","","1","",,,,,,,,,,,,,,,,,
10,"Anderwerth1828","Anderwerth","Joseph Fridolin",,"2",1,2,"m","","",1828-01-01 00:00:00,0,"",1880-01-01 00:00:00,"Bern","Frauenfeld","","","1","",,,,,,,,,,,,,,,,,
11,"AnMF1817","Anneke","(Mathilde) Franziska",,"3",1,5,"f","","",1817-01-01 00:00:00,0,"",1884-01-01 00:00:00,"Milwaukee","Hiddinghausen","","DE-USA – Catholic, Bürgerstochter – for ","2","na",,,,,,,,,,,,,,,,,
12,"ArFM1694","Arouet ","François Marie ",,"2",1,5,"m","Voltaire","",1694-01-01 00:00:00,0,"",1778-01-01 00:00:00,"France","France","","known as Voltaire Essai sur les mœurs(17","1","",,,,,,,,,,,,,,,,,
