"id","author_name","author_id","type","genre","published","title","subtitle","publisher","location","description","source","medium","language","format","subject","rights","rights_holder","data_evaluation","authority_record","authority_organization","img","pdf_book","ext_source","field26","archive","field28","created","citation","field29"
1,532,532,1,1,1822-01-01 00:00:00,"Ein Wor an meine Mitlandleute im Kanton Schwyz wegen dem Kriegsdient in Neapel","","","","author: Anonymoussubject: Anonymous","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
2,532,532,1,1,1824-01-01 00:00:00,"Ansichten eines Eidgenössischen Miliz-Offiziers über den Fremden Kriegsdienst der Schweizer (etc.)","","Gessner","Zürich","author: Anonymoussubject: Anonymous","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
3,532,532,1,1,1846-01-01 00:00:00,"Die fünfzenjährige Fehde der Revolution gegen die Katholische Schweiz (1830-1845)","","Gebrüder Räber","Luzern","author: Anonymoussubject: Anonymous","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
4,1,1,3,8,1848-01-01 00:00:00,"Der Siegreiche Kampf der Eidgenossen gegen Jesuitentum und Sonderbund, etc. nebst vollständiger Schilderung des Feldzuges vom November 1847. Durch einen Offizier der Eidg. Armee.",""," Jent und Gassmann","","author: Anonymoussubject: Anonymous","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
5,,,2,8,1833-01-01 00:00:00,"Helvetia. Denkwürdigkeiten für die XXII Freistaaten der Schweizerischen Eidgenossenschaft","Achter Band","J.J. Christen Buchdrucker und Buchhändle","Aarau","author: Balthasar, Josef Antonsubject: Balthasar","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
6,,,2,10,1839-01-01 00:00:00,"Republikaner","1.10.1839","","","author: subject: Bleuler","Mörgeli, Christoph: Der ""Züriputsch"" aus","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
7,,,1,1,1848-01-01 00:00:00,"Selbsbiographie von Robert Blum und dessen Ermordung in Wien 9. Novbr. 1848","","F.W. Goedsche","Leibzig und Meissen","author: Blum, Robertsubject: Blum","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
8,38,38,1,1,1884-01-01 00:00:00,"Denkwürdiges aus meinem Leben","(Hsg.) Seyerlen, Rudolf: Bd. 2: Die Deutsche","Verlag der C.H. Bekschen Buchhandlung","Nördlingen","author: Bluntschli, Johann Caspar subject: Bluntschli",,,1,,,,,,,,,,,,,,,,
9,38,38,1,1,1884-01-01 00:00:00,"Denkwürdiges aus meinem Leben","(Hsg.) Seyerlen, Rudolf: Bd. 1: Die Schweizerische Periode 1808-1848","Verlag der C.H. Bekschen Buchhandlung","Nördlingen","author: Bluntschli, Johann Caspar subject: Bluntschli","Aerne, Peter: Pfarrer Bernhard Hirzel, A",,1,"Gedruckte Quellen",,,,,,,,,,,,,,,
10,38,38,2,5,0000-00-00 00:00:00,"Deutsche Statslehre für Gebildete","","","","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
11,38,38,2,8,1711-01-01 00:00:00,"Merkwürdigkeiten der Stadt Zürich und deren Landschaft","","","Zürich","author: Bluntschli, Johann Caspar subject: Bluntschli","Hauser, Albert: Vom Essen und Trinken im","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
12,38,38,2,5,1829-01-01 00:00:00,"Entwicklung der Erbfolge gegen den letzten Willen nach Römischem Recht mit besonderer Rücksicht auf die Novelle 115","","Adolph Marcus","Bonn","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
13,38,38,3,8,1843-01-01 00:00:00,"Kommunisten in der Schweiz",,,,"author: subject: Bluntschli",,,1,,,,,,,,,,,,,,,,
14,38,38,2,5,1844-01-01 00:00:00,"Psychologische Studien über Staat und Kirche - Bluntschli, Johann Caspar, 1808-1881","","Ch. Beyerl","Zürich und Frauenfeld","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
15,38,38,2,5,1849-01-01 00:00:00,"Geschichte des schweizerischen Bundesrechtes : von den ersten ewigen Bünden bis auf die Gegenwart","","Verlag Meyer und Zeller","Zürich","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
16,38,38,2,5,1852-01-01 00:00:00,"Allgemeines staatsrecht - Bluntschli, Johann Caspar, 1808-1881","","Verlag der literarischen Anstalt","München","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
17,38,38,2,5,1857-01-01 00:00:00,"Der Kampf der Liberalen in Belgien","","[s.n.]","Zürich","author: Bluntschli, Johann Caspar; Laurent, Françoissubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
18,38,38,2,5,1860-01-01 00:00:00,"Rechtsgutachten betreffend Steuerpflicht der schweizerischen Centralbahn-Gesellschaft im Kanton Basel-Landschaft","","Gedruckt bei Lüdin & Walser","","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
19,38,38,2,5,1863-01-01 00:00:00,"Allgemeines staatsrecht (Volume 2)","","Gottasche Buchhandlung","Göttingen","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
20,38,38,2,5,1865-01-01 00:00:00,"Deutsches Staats-Wörterbuch - Bluntschli, Johann Caspar, 1808-1881, ed","","","Expedition des Staatswörterbuches","author: Bluntschli, Johann Caspar; Brater, Karl Ludwig Theodor subject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
21,38,38,2,5,1866-01-01 00:00:00,"Das moderne Kriegsrecht der civilisierten Staten, als Rechtsbuch dargestellt ","","C.H. Beck'schen Buchhandlung","Nördlingen","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
22,38,38,2,5,1868-01-01 00:00:00,"Die Gründung der amerikanischen Union von 1787 ","","Lüderitz'sche Verlagsbuchhandlung","Berlin","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
