"id","author","author_memberID","bibliography_id","bibliography_title","trascriber_memberID","transcript_title","transcript","field9","credits"
1,231,,137,137,"scre","HeSc1797.137.schindlerregina",,,
2,224,,111,111,"thirzel","HeSeE1817.111.thirzel","33820100_1429957665.txt",,
3,234,,143,143,"thirzel","HiB1807.143.thirzel","54187800_1429948403.txt",,
4,645,,532,532,"thirzel","WeH1789.532.thirzel","23011800_1429950943.txt",,
5,367,,215,215,"thirzel","MoKak1790.215.thirzel","35228500_1429956865.txt",,
6,367,,222,222,"musi","MoKak1790.222.muffsilvia","12971200_1429957307.docx",,
7,231,,136,136,"thirzel","HeSc1797.136.thirzel","39356100_1429957409.txt",,
8,38,,8,8,"thirzel","MlJC1808.8.thirzel","03955800_1429957724.txt",,
9,129,,65,65,"thirzel","EsH1776.65.thirzel","03600500_1429958064.txt",,
10,224,,106,106,"thirzel","HeSiE1817.106.thirzel","17264400_1429958110.txt",,
11,234,,1469,1469,"thirzel","HiB1807.1469.thirzel","09652900_1429958178.txt",,
12,1072,,220,220,"thirzel","SpVil.220.thirzel","55834300_1429958489.txt",,
13,532,,278,278,"thirzel","SiMueC1801.278.thirzel",,,
14,532,,279,279,"thirzel","SiMueC1801.279.thirzel",,,
15,1074,,1024,1024,"thirzel","thirzel.1024.thirzel",,,
16,1074,,1025,1025,"thirzel","thirzel.1025.thirzel",,,
17,1074,,1026,1026,"thirzel","thirzel.1026.thirzel",,,
18,1074,,1027,1027,"thirzel","thirzel.1027.thirzel",,,
19,1074,,1028,1028,"thirzel","thirzel.1028.thirzel",,,
20,1074,,1029,1029,"thirzel","thirzel.1029.thirzel",,,
21,1074,,1030,1030,"thirzel","thirzel.1030.thirzel",,,
22,1074,,1031,1031,"thirzel","thirzel.1031.thirzel",,,
23,1077,,,109,"krmi1843.109.none","none",,,
