"id","domain","concern","issue","description"
1,1,1,"Fate",""
2,1,1,"Prediction",""
3,1,1,"Interdiction",""
4,1,1,"Destiny",""
5,1,2,"Fact",""
6,1,2,"Security",""
7,1,2,"Threat",""
8,1,2,"Fantasy",""
9,1,3,"Openness",""
10,1,3,"Delay",""
11,1,3,"Choice",""
12,1,3,"Preconception",""
13,1,4,"Work",""
14,1,4,"Attraction",""
15,1,4,"Repulsion",""
16,1,4,"Attempt",""
17,2,5,"Instinct",""
18,2,5,"Senses",""
19,2,5,"Interpretation",""
20,2,5,"Conditioning",""
21,2,6,"Wisdom",""
22,2,6,"Skill",""
23,2,6,"Experience",""
24,2,6,"Enlightenment",""
25,2,7,"Approach",""
26,2,7,"Self Interest",""
27,2,7,"Morality",""
28,2,7,"Attitude",""
29,2,8,"Prerequisites",""
30,2,8,"Strategy",""
31,2,8,"Analysis",""
32,2,8,"Preconditions",""
33,3,9,"State of Being",""
34,3,9,"Situation",""
35,3,9,"Circumstances",""
36,3,9,"Sense of Self",""
37,3,10,"Knowledge",""
38,3,10,"Ability",""
39,3,10,"Desire",""
40,3,10,"Thought",""
41,3,11,"Rationalization",""
42,3,11,"Commitment",""
43,3,11,"Responsibility",""
44,3,11,"Obligation",""
45,3,12,"Permission",""
46,3,12,"Need",""
47,3,12,"Expediency",""
48,3,12,"Deficiency",""
49,4,13,"Truth",""
50,4,13,"Evidence",""
51,4,13,"Suspicion",""
52,4,13,"Falsehood",""
53,4,14,"Value",""
54,4,14,"Confidence",""
55,4,14,"Worry",""
56,4,14,"Worth",""
57,4,15,"Closure",""
58,4,15,"Hope",""
59,4,15,"Dream",""
60,4,15,"Denial",""
61,4,16,"Investigation",""
62,4,16,"Appraisal",""
63,4,16,"Reappraisal",""
64,4,16,"Doubt",""
