"id","domain","concern","issue","theme","description"
1,1,1,1,"Knowledge",""
2,1,1,1,"Order",""
3,1,1,1,"Chaos",""
4,1,1,1,"Thought",""
5,1,1,2,"Actuality",""
6,1,1,2,"Inertia",""
7,1,1,2,"Change",""
8,1,1,2,"Perception",""
9,1,1,3,"Ability",""
10,1,1,3,"Equity",""
11,1,1,3,"Inequity",""
12,1,1,3,"Desire",""
13,1,1,4,"Aware",""
14,1,1,4,"Projection",""
15,1,1,4,"Speculation",""
16,1,1,4,"Self Aware",""
17,1,2,5,"Proven",""
18,1,2,5,"Accurate",""
19,1,2,5,"Non-Accurate",""
20,1,2,5,"Unproven",""
21,1,2,6,"Effect",""
22,1,2,6,"Result",""
23,1,2,6,"Process",""
24,1,2,6,"Cause",""
25,1,2,7,"Theory",""
26,1,2,7,"Expectation",""
27,1,2,7,"Determination",""
28,1,2,7,"Hunch",""
29,1,2,8,"Trust",""
30,1,2,8,"Ending",""
31,1,2,8,"Unending",""
32,1,2,8,"Test",""
33,1,3,9,"Consider",""
34,1,3,9,"Faith",""
35,1,3,9,"Disbelief",""
36,1,3,9,"Reconsider",""
37,1,3,10,"Pursuit",""
38,1,3,10,"Support",""
39,1,3,10,"Oppose",""
40,1,3,10,"Avoidance",""
41,1,3,11,"Logic",""
42,1,3,11,"Conscience",""
43,1,3,11,"Temptation",""
44,1,3,11,"Feeling",""
45,1,3,12,"Control",""
46,1,3,12,"Help",""
47,1,3,12,"Hinder",""
48,1,3,12,"Uncontrolled",""
49,1,4,13,"Certainty",""
50,1,4,13,"Deduction",""
51,1,4,13,"Induction",""
52,1,4,13,"Potentiality",""
53,1,4,14,"Proaction",""
54,1,4,14,"Acceptance",""
55,1,4,14,"Nonacceptance",""
56,1,4,14,"Reaction",""
57,1,4,15,"Probability",""
58,1,4,15,"Reduction",""
59,1,4,15,"Production",""
60,1,4,15,"Possibility",""
61,1,4,16,"Inaction",""
62,1,4,16,"Evaluation",""
63,1,4,16,"Reevaluation",""
64,1,4,16,"Protection",""
65,2,5,17,"Knowledge",""
66,2,5,17,"Ability",""
67,2,5,17,"Desire",""
68,2,5,17,"Thought",""
69,2,5,18,"Actuality",""
70,2,5,18,"Aware",""
71,2,5,18,"Self Aware",""
72,2,5,18,"Perception",""
73,2,5,19,"Order",""
74,2,5,19,"Equity",""
75,2,5,19,"Inequity",""
76,2,5,19,"Chaos",""
77,2,5,20,"Inertia",""
78,2,5,20,"Projection",""
79,2,5,20,"Speculation",""
80,2,5,20,"Change",""
81,2,6,21,"Proven",""
82,2,6,21,"Theory",""
83,2,6,21,"Hunch",""
84,2,6,21,"Unproven",""
85,2,6,22,"Effect",""
86,2,6,22,"Trust",""
87,2,6,22,"Test",""
88,2,6,22,"Cause",""
89,2,6,23,"Accurate",""
90,2,6,23,"Expectation",""
91,2,6,23,"Determination",""
92,2,6,23,"Non-Accurate",""
93,2,6,24,"Result",""
94,2,6,24,"Ending",""
95,2,6,24,"Unending",""
96,2,6,24,"Process",""
97,2,7,25,"Consider",""
98,2,7,25,"Logic",""
99,2,7,25,"Feeling",""
100,2,7,25,"Reconsider",""
101,2,7,26,"Pursuit",""
102,2,7,26,"Control",""
103,2,7,26,"Uncontrolled",""
104,2,7,26,"Avoidance",""
105,2,7,27,"Faith",""
106,2,7,27,"Conscience",""
107,2,7,27,"Temptation",""
108,2,7,27,"Disbelief",""
109,2,7,28,"Support",""
110,2,7,28,"Help",""
111,2,7,28,"Hinder",""
112,2,7,28,"Oppose",""
113,2,8,29,"Certainty",""
114,2,8,29,"Probability",""
115,2,8,29,"Possibility",""
116,2,8,29,"Potentiality",""
117,2,8,30,"Proaction",""
118,2,8,30,"Inaction",""
119,2,8,30,"Protection",""
120,2,8,30,"Reaction",""
121,2,8,31,"Deduction",""
122,2,8,31,"Reduction",""
123,2,8,31,"Production",""
124,2,8,31,"Induction",""
125,2,8,32,"Acceptance",""
126,2,8,32,"Evaluation",""
127,2,8,32,"Reevaluation",""
128,2,8,32,"Nonacceptance",""
129,3,9,33,"Knowledge",""
130,3,9,33,"Inertia",""
131,3,9,33,"Change",""
132,3,9,33,"Thought",""
133,3,9,34,"Actuality",""
134,3,9,34,"Order",""
135,3,9,34,"Chaos",""
136,3,9,34,"Perception",""
137,3,9,35,"Aware",""
138,3,9,35,"Equity",""
