"id","impression","description","category"
1,"Strategy","",""
2,"A.1 Favor-doing","",""
3,"A.2 Self-enhancement/promotion","",""
4,"A.3 Entitlement/acclaiming","",""
5,"A.4 Charm","",""
6,"A.5 Modesty","",""
7,"A.6 Opinion conformity","",""
8,"A.7 Flattery/compliments","",""
9,"A.8 Ingratiation","",""
10,"A. 9 Exemplification","",""
11,"A.10 Other-enhancement","",""
12,"B.1 Association/basking","",""
13,"B.2 Physical appearance","",""
14,"B.3 Boosting","",""
15,"B.4 Burnishing","",""
16,"B.5 Blurring","",""
17,"B.6 Belittling","",""
18,"C.1 Sandbagging","",""
19,"C.2 Self-handicapping","",""
20,"C.3 Excuses","",""
21,"C.4 Hedging","",""
22,"C. 5 Apologies","",""
23,"C.7 Justifications","",""
24,"C.8 Accounts","",""
25,"C.9 Disclaimers","",""
26,"C.10 Remedial","",""
27,"D.1 Self-reported","",""
28,"D.2 Blasting","",""
29,"D.3 Dissociation","",""
30,"D.4 Blaring","",""
31,"D.5 Burying","",""
32,"E.1 Intimidation/coercion","",""
33,"E.2 Supplication","",""
