"permissionID","groupID","tableName","allowInsert","allowView","allowEdit","allowDelete"
1,2,"biblio_author",1,3,3,3
2,2,"biblio_doc",1,3,3,3
3,2,"biblio_trascript",1,3,3,3
4,2,"biblio_token",1,3,3,3
5,2,"code_invivo",1,3,3,3
6,2,"code_herme",1,3,3,3
7,2,"code_chrev_scenes",1,3,3,3
8,2,"code_encounters",1,3,3,3
9,2,"story",1,3,3,3
10,2,"storypoints_static",1,3,3,3
11,2,"storydynamic",1,3,3,3
12,2,"storyweaving_scenes",1,3,3,3
13,2,"story_characters",1,3,3,3
14,2,"code_character_development",1,3,3,3
15,2,"storylines",1,3,3,3
16,2,"dictionary",1,3,3,3
17,2,"class_authority_agent",1,3,3,3
18,2,"class_authority_library",1,3,3,3
19,2,"class_bibliography_genre",1,3,3,3
20,2,"class_bibliography_type",1,3,3,3
21,2,"class_dramatica_archetype",1,3,3,3
22,2,"class_dramatica_concern",1,3,3,3
23,2,"class_dramatica_domain",1,3,3,3
24,2,"class_dramatica_issue",1,3,3,3
25,2,"class_dramatica_structurepoint",1,3,3,3
26,2,"class_dramatica_thematicpoint",1,3,3,3
27,2,"class_dramatica_throughline",1,3,3,3
28,2,"class_im",1,3,3,3
29,2,"class_language",1,3,3,3
30,2,"class_nt",1,3,3,3
31,2,"class_dramatica_themes",1,3,3,3
32,2,"class_character_element",1,3,3,3
33,2,"code_character_development",1,3,3,3
34,2,"code_character_development",1,3,3,3
35,2,"code_encounter_scenes",1,3,3,3
36,2,"class_agent_type1",1,3,3,3
37,2,"class_agent_type2",1,3,3,3
38,2,"class_rights",1,3,3,3
39,2,"storyboard",1,3,3,3
40,2,"class_bibliography_archive",1,3,3,3
