"id","story","role","character","memberID","agent_name","cw_name","img","MC_resolve","MC_growth","MC_approach","MC_PS_style","cw_age","cw_gender","cw_communication_style","cw_background","cw_appearance","cw_relationships","cw_ambition","cw_character_defects","cw_thoughts","cw_relatedness","cw_restrictions","locations","persons","events","noetictension","impression","drama_function","drama_role","field29","field30"
1,1,1,"Main Character",0,367,"KATHARINA",367,,,,,"72"," f",,,,,,,,,,,,,3,3,"To constitute material realities (progress).","The moral entrepreneur",,
2,1,2," Impact Character",0,532,"CONSTANTIN",532,,,,,"60","m",,,,,,,,,,,,,1,10,"To preserve historical achievments (conservance).","The preserver and reformer of the (old) Church and (old) Confederation.",,
3,1,5," Archetype",,75,"KARL",75,,,,,"60","m",,,,,,,,,,,,,1,11,"To use economic means for spiritual goals.","The (utopian) enterpreneur for common good.",,
4,1,6," Archetype",,234,"BERNHARD",234,,,,,"40","m",,,,,,,,,,,,,2,19,"To use spiritual means for economic goals.","The misunderstood prophet.",,
5,1,3," Archetype",,224,"EMMA",224,,,,,"80"," f",,,,,,,,,,,,,3,23,"Never to say dead!","“The biggest and best heroine of love” of liberty.",,
6,1,4," Archetype",,231,"META",231,,,,,"80"," f",,,,,,,,,,,,,1,6,"To take the conflict its importance, to remember eternal values.","The voice of God in our midst.",,
7,1,8," Archetype",,130,"ALFRED",130,,,,,,"m",,,,,,,,,,,,,2,3,"To progress alon in one’s own interest without considerations.","The radical (economic) liberal.",,
8,1,," Secondary Character",,426,"KATHY",426,,,,,," f",,,,,,,,,,,,,,,,,,
9,1,," Secondary Character",,528,"JOSEPHINE",528,,,,,," f",,,,,,,,,,,,,,,,,,
10,1,," Secondary Character",,294,"KRAMER",294,,,,,,"m",,,,,,,,,,,,,,,,,,
11,1,9," Other",,,"GRANDMOTHER",,,,,,," f",,,,,,,,,,,,,,,,,,
12,1,9," Other",,,"CHILD",,,,,,," i",,,,,,,,,,,,,,,,,,
13,1,7," Archetype",,645,"HEINRICH",645,,,,,,"m",,,,,,,,,,,,,2,24,"To remember what is at stake (sovereignty of the people over the country).","The defender of the (liberal) “will of the people”.",,
14,2,2," Impact Character",,,"DEATH",,,,,,"none",,,,,,,,,,,,,,,,"To deconstruct, stop things from going.","The invisible other",,
15,2,6," Archetype",,424,"PEYER",424,,,,,"around 30","m",,,,,,,,,,,,,,,"To inspire, provide a reason for action.","The companion in arms",,
16,2,7," Archetype",,558,"JAKOB",558,,,,,,"m",,"The doctor and liberal",,,,,,,,,,,,,"To help accepting limitations and ending.","The doctor and the liberal",,
17,2,4," Archetype",,366,"JOSEF",366,,,,,,"m",,"Katharina Morel's 2nd husband.",,,,,,,,,,,,,"To make an end.","The failed business man",,
18,2,1,"Main Character",,367,"KATHARINA",367,0,0,0,0,," f",,,,,,,,,,,,"1. Poor childhood, but independent attitude.
2. Russian campagin & military service in Holland.
3. Inn keeper.
4. Investor, culture patron.
5. Liberal revolutionary.
6. Hotel management.
7. Educator.",3,3,"To to create, manage, keep things going.","The creative entrepreneur",,
19,2,5," Archetype",,426,"KATHY",426,,,,,," f",,,,,,,,,,,,,,,"To take account, organize, keep things together.","The bookkeeper",,
20,2,8," Archetype",,44,"NAPOLEON",44,,,,,,"m",,"Detainment of enthusiasm.",,,,,,,,,,,,,"To frustrate expectations.","Detainment of enthusiasm",,
21,2,3," Archetype",,520,"THE SEGESSERS",520,,,,,,"m",,,,,,,,,,,,,,,"To open new possibilities.","The fortune bringer",,
22,3,1,"Main Character",,645,"HEINRICH",645,0,0,0,0,,"m",,,,,,,,,,,,"1. Social advancement
2. Secondary school & political career
3. Züriputsch
4. Transport system development
5. Sonderbund war
6. Promotion of local banking and credit system
7. Winterthur's press",2,24,"Maintain the sovereignty of the State.","The guardian of the government",,
23,3,2," Impact Character",,578,"SULZER",578,,,,,,"m",,,,,,,,,,,,,,,"To shout the war roar.","The hotheaded",,
24,3,8," Archetype",,266,"HÜRLIMANN",266,,,,,,"m",,,,,,,,,,,,,,,"To confuse the people.","The friend of ambitious aristocrates",,
25,3,6," Archetype",,440,"RAHN-ESCHER",440,,,,,,"m",,,,,,,,,,,,,,,"To agitate and spread rumors, to bring the story forward.","The leader of the folk",,
26,3,7," Archetype",,207,"GYSI",207,,,,,,"m",,,,,,,,,,,,,,,"To remember the goal; protection of people and property.",,,
27,3,5," Archetype",,229,"HESS",229,,,,,,"m",,,,,,,,,,,,,,,"To mediate between the sides.","The sovereign negociator",,
28,3,3," Archetype",,245,"HIRZEL",245,,,,,,"m",,,,,,,,,,,,,,,"To push Weiss in ambiguous way.","The commander in double function",,
29,4,1," Archetype",,,"THE CHILDREN",,,,,,,,,,,,,,,,,,,,,,"To materialize truth.","The community of the saints.",,
30,4,2," Archetype",,762,"GRANDMOTHER",762,,,,,," f",,,,,,,,,,,,,,,"To represent the true story.","The hidden woman.",,
31,4,5,"Main Character",,231,"META",231,0,0,0,0,," f",,,,,,,,,,,,"1. Napoleon.
2. Bocken Inn War (Liberalism).
3. Anabaptist friendship.
4. Catholic friendship.
5. Birth/death and communion with God.
6. The absent husband/son.
7. The hidden story.",1,6,"To unify opposing poles through love.","The emissary of God.",,
32,4,6," Archetype",,493,"ANNA",493,,,,,," f",,,,,,,,,,,,,,,"To seak for the ideal.","The Anabaptist.",,
33,4,3," Archetype",,1079,"WICHELHAUSEN",1079,,,,,,"m",,,,,,,,,,,,,,,"To balance reason and emotion.","The calming influence",,
34,4,4," Archetype",,1080,"HEUSSER",1080,,,,,,"m",,,,,,,,,,,,,,,"To remind the demands of reality.","The converted rationalist.",,
35,4,7," Archetype",,1081,"GRANDFATHER",1081,,,,,,"m",,,,,,,,,,,,,,,"To support faith.","The man of faith.",,
36,4,8," Impact Character",,259,"HUBER",259,,,,,,"m",,,,,,,,,,,,,,,"To challenge faith.","The fanatic farmer.",,
