"game_agent_id","agent_name","id","img","groupID","selection_class","agenttype1","agenttype2","gender","last_name","first_name","other_name","birthday","birth_location","birth_location_map","deathday","death_location","workplace","knows","shortbio","data_evaluation","authority_record","authority_organization","memberID"
"1",\N,"1",\N,\N,"2","1","2","1","Ab Yberg","Josef Plazid",\N,"1767-01-01 00:00:00",\N,\N,"1824-01-01 00:00:00",\N,\N,\N,"1781 als Kadett Eintritt in sardin. Dienste, 1786 Aidemajor im Regiment de Kalbermatten, 1791 von Kg. Viktor Amadeus III. von Sardinien in den Freiherrenstand erhoben, 1796-98 Oberstleutnant im Regiment Peyer im Hof. In franz. Diensten ab 1798 Bataillonskommandant der 1. helvet. Legion, 1800 der 3. Halbbrigade, 1804 Oberstleutnant der franz. Armee, Kommandant der Insel Capraia vor Genua, 1806 Grossmajor im 1., 1812 Oberst im 2. Schweizerregiment Napoleons. 1808-11 an den Feldzügen in Italien und nach Neapel beteiligt. 1813-15 Kommandant der halben Schweizerbrigade in Holland, General bei der Belagerung von Wesel und Maastricht. Ab 1815 wieder in Schwyz. Eidg. Oberst und Brigadekommandant bei der Grenzbesetzung, 1815-19 wiederum in franz. Diensten. 1811 Ritter des neapolitan. Ordens beider Sizilien, 1814 des franz. St.-Ludwigs-Ordens, Offizier der franz. Ehrenlegion.","1",\N,\N,"AbYJP1767"
"2",\N,"2",\N,\N,"2","1","2","1","Ab Yberg","Theodor",\N,"1795-01-01 00:00:00",\N,\N,"1869-01-01 00:00:00",\N,\N,\N,"A.s militär. Laufbahn begann 1815 an der Grenzbesetzung in der Westschweiz. Nach der Rückkehr aus franz. Diensten (ab 1815 Offizier) wurde er 1823 eidg. Stabsoffizier im Range eines Oberstleutnants, 1831 zum eidg. Obersten befördert. 1833 kommandierte er die Schwyzertruppen im Zug nach Küssnacht (SZ) und wiederum 1844-45 gegen die Luzerner Freischaren. 1847 war er Kriegsrat der Sonderbundsarmee und Kommandant der 2. Sonderbundsdivision. Die Wahl zum Kantonsrichter 1824 stand am Anfang seiner polit. Karriere in Schwyz: 1826 Ratsherr, 1830-33 Bezirksstatthalter, 1830-34 Landesstatthalter, 1832 und 1841-46 Tagsatzungsgesandter, 1833-34 Bezirksammann, 1833-47 Mitglied des Gr. Rats, des Kantonsrats und der Regierungskomm., 1834-36, 1838-40, 1842-44 und 1846-47 Landammann. 1835 war er Initiant für die Berufung der Nuntiatur nach Schwyz, 1836 für die Errichtung des Jesuitenkollegiums in Schwyz. 1841 tat er sich als Gegner der Aufhebung der aarg. Klöster hervor. Vom Papst 1839 zum Ritter und 1842 zum Komtur des St. Gregoriusordens ernannt, wurde er 1846 in den erbl. Grafenstand erhoben. A. beteiligte sich in den Verfassungs- und Trennungswirren im Kt. Schwyz 1830-33 massgebl. an den Bestrebungen, vorrevolutionäre Verhältnisse wiederherzustellen. Im Hörner- und Klauenstreit (1838) vertrat er ebenfalls als einer der Führer der Hornmänner die Konservativen. Ohne den Kampf gegen den Radikalismus aufzugeben, hatte er aber sein früheres polit. Denken geändert, zugunsten von Frieden, Ordnung und Zusammenarbeit im ganzen Kt. Der beim Volk sehr beliebte A. war am Sonderbundskrieg als Landammann und Kommandant führend beteiligt, verlor aber nach der Niederlage seine Ämter und ging 1848-51 ins Exil nach Österreich. Er gehört zu den bedeutendsten Gestalten der schwyzer. Gesch. des 19. Jh.","1",\N,\N,"AvYT1795"
"3",\N,"3",\N,\N,"2","1","3","1","Abraham","Jakob",\N,"1723-01-01 00:00:00",\N,\N,"1800-01-01 00:00:00","Berlin","Strelitz",\N,"Seidenfabrikant in Zürich","1",\N,\N,"AbJ1723"
"4",\N,"4",\N,\N,"2","1","2","1","Affry","Charles, d'",\N,"1772-01-01 00:00:00",\N,\N,"1818-01-01 00:00:00","Fribourg, Switzerland","Fribourg, Switzerland",\N,"Swiss coronel during the Russian Campaign.","4","D23245","0","AfC1772"
"5",\N,"5",\N,\N,"2","1","3","1","Affry","Louis Auguste Philippe Frédéric François",\N,"1743-01-01 00:00:00",\N,\N,"1810-01-01 00:00:00",\N,\N,\N,"Erster Landamman der Schweiz unter der ""Schweizerischen Eigenossenschaft"" Napoleons (Mediationsakte)","1",\N,\N,"dAfLAFF1743"
"6",\N,"6",\N,\N,"3","1","5","1","Altermatt","Urs",\N,"1942-01-01 00:00:00",\N,\N,\N,\N,\N,\N,"According to Guido Stucki Paul König writes a historiography in two parts Die Schweiz im Lichte der Geschichtsschreibung [Switzerland in the light of historiography] (König, 1966)and Die Schweiz unterwegs 1798-? [Switzerland on her way 1798-?] (König, 1969), oriented towards the general public. True to the title of the first book, he gives voice to a large number of historiographers of the 19th and 20th century. Beyond professional historians he includes legal scholars and politicians dedicated to history writing.","1",\N,\N,"AlU1942"
"7",\N,"7",\N,\N,"3","1","5","1","Altmann","Johann-Georg",\N,"1685-01-01 00:00:00",\N,\N,"1758-01-01 00:00:00",\N,\N,\N,"resumes Ruchat and Stanyan in his publication under the title «L'Etat et les délices de la Suisse» - this is an example vs. the myth of a strict separation of a romanic and a germanic Switzerland and a « Germanic » culture of the German speaking part.","1",\N,\N,"AlJG1685"
"8",\N,"8",\N,\N,"1","1","2","1","Ammann","Johann Kaspar",\N,"1803-01-01 00:00:00","Hard (ZH)",\N,"1870-01-01 00:00:00",\N,\N,\N,"Oberrichter","1",\N,\N,"AmJK1803"
"9",\N,"9",\N,\N,"2","1","2","1","Amrhyn","Josef Franz Karl","Josef Franz von Sales Johann Baptist Kar","1800-01-01 00:00:00",\N,\N,"1849-01-01 00:00:00","Luzern","Luzern",\N,\N,"1",\N,\N,"AmJFK1800"
"10",\N,"10",\N,\N,"2","1","2","1","Anderwerth","Joseph Fridolin",\N,"1828-01-01 00:00:00",\N,\N,"1880-01-01 00:00:00","Bern","Frauenfeld",\N,\N,"1",\N,\N,"Anderwerth1828"
"11",\N,"11",\N,\N,"3","1","5","2","Anneke","(Mathilde) Franziska",\N,"1817-01-01 00:00:00",\N,\N,"1884-01-01 00:00:00","Milwaukee","Hiddinghausen",\N,"DE-USA – Catholic, Bürgerstochter – for the abolition of slavery and women’s rights – historiography Mutterland: Memoiren einer Frau aus dem badisch-pfälzischen Feldzuge (Anneke, 1982) – Politikverbot in Germany until 1908 (Gélieu, 2008)- Der politische Tendenz-Prozeß gegen Gottschalk, Anneke und Esser (Anneke, 1848) – first German women’s News Paper (Frauenzeitung), only 2 exemplary published (Henkel & Taubert, 1976)","2","na","0","AnMF1817"
"12",\N,"12",\N,\N,"2","1","5","1","Arouet ","François Marie ","Voltaire","1694-01-01 00:00:00",\N,\N,"1778-01-01 00:00:00","France","France",\N,"known as Voltaire Essai sur les mœurs(1756)  – French universal history - Essai sur les mœurs et l‘ésprit des nations – critical historiography","1",\N,\N,"ArFM1694"
"13",\N,"13",\N,\N,"3","1","5","2","Aston","Louise",\N,"1814-01-01 00:00:00",\N,\N,"1871-01-01 00:00:00","na","na",\N,"DE – “She served in the Freikorps in Schleswig during the war.” (Wikipedia) – a justification in the style of the Zurich men (Luise Aston, 1846) – historiography of the revolution (novel) (Luise Aston, 1849) – history in literary genre (Louise Aston, 1847, 1850)","2","na","0","AsL1814"
"14",\N,"14",\N,\N,"2","1","2","1","Bachmann","Niklaus Franz, von",\N,"1740-01-01 00:00:00",\N,\N,"1831-01-01 00:00:00",\N,\N,\N,"General, Eidgenössischer Oberbefehlshaber im Feldzug von 1815","4","10671131","0","BaNF1740"
"15",\N,"15",\N,\N,"4","1","4","1","Balthasar","Franz Urs, von",\N,"1689-01-01 00:00:00","Luzern",\N,"1763-01-01 00:00:00",\N,\N,\N,"Historiker (für Objektivität), für Bildung des Volkes,","1",\N,\N,"BaFU1689"
"16",\N,"16",\N,\N,"3","1","5","2","Bandemer","Susanne, von",\N,"1751-01-01 00:00:00",\N,\N,"1828-01-01 00:00:00","na","na",\N,"(French) revolution as self-preservation in Schreiben einer Mutter über die Revolution in Frankreich (von Bademer, 1791, 1821) in (Vahsen, 2000) (p.49)","2","na","0","BaS1751"
