"id","biography","author_id","author_name","bibliography","transcript","token_sequence","token","story_act","sequence","character","role","storyline_no","parenthetic","storyline_title","storyline","notes","storyweaving_scene_no","storyweaving_scene","storyweaving_sequence","storyweaving_theme","character_scene","character_event","startdate","enddate"
"1","1",\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,"1",\N,"Katharina Kaufman is born at 15:00 hours","Katharina Kaufman is born at 15:00 hours. ",\N,\N,\N,\N,\N,\N,\N,"1790-05-23 00:00:00",\N
"2","1",\N,\N,\N,\N,\N,\N,\N,"2",\N,\N,"2",\N,"Napoleon fights a riot in Paris for the ","Napoleon fights a riot in Paris for the directorium.",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"3","1",\N,\N,\N,\N,\N,\N,\N,"3",\N,\N,"3",\N,"Napoleon wins against Oberitalian and Au","Napoleon wins against Oberitalian and Autria",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"4","1",\N,\N,\N,\N,\N,\N,\N,"4",\N,\N,"4",\N,"Peace of Campo Formio"," France has the hegemony in Europe",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"5","1",\N,\N,\N,\N,\N,\N,\N,"5",\N,\N,"5",\N,"The Second Coalition is built (England, ","The Second Coalition is built (England, Russia and Autria)",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"6","1",\N,\N,\N,\N,\N,\N,\N,"6",\N,\N,"6",\N,"France becomes a constitutional Monarchy","France becomes a constitutional Monarchy. Napoleon Bonaparte is elected as Kaiser.",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"7","1",\N,\N,\N,\N,\N,\N,\N,"7",\N,\N,"7",\N,"The Third Coalition is built (England, A","The Third Coalition is built (England, Austria, Russia and Sweden)",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"8","1",\N,\N,\N,\N,\N,\N,\N,"8",\N,\N,"8",\N,"Prussia declares war against France.","Prussia declares war against France.",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"9","1",\N,\N,\N,\N,\N,\N,\N,"9",\N,\N,"9",\N,"Napoleon imposes the Continental Block (","Napoleon imposes the Continental Block (Kontinentalsperre)",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"10","1",\N,\N,\N,\N,\N,\N,\N,"10",\N,\N,"10",\N,"Napoleon makes peace with Russia and Pru","Napoleon makes peace with Russia and Prussia in Tilsit.",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"11","1",\N,\N,\N,\N,\N,\N,\N,"11",\N,\N,"11",\N,"French Revolution.","French Revolution.",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"12","1","1071","1071","222","10","5951","5951","1","12","1","1","12",\N,"Morel's Father Kaufmann runs an Inn, ""Kr","Morel's Father Kaufmann runs an Inn, ""Kreuz"" in Luzern","<br>",\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"13","1","1071","1071","222","10","5941","5941","1","13","1","1","13",\N,"Early responsibilities","Early responsibilities","<br>",\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"14","1","1071","1071","222","10","5965","5965","1","14","1","1","14",\N,"Mother's death","Mother's death","<br>",\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"15","1",\N,\N,\N,\N,\N,\N,\N,"15",\N,\N,"15",\N,"Morel starts to work in the Hotel ""Wilde","Morel starts to work in the Hotel ""Wilden Mann"", where she does accounting, and the stocks.",\N,\N,\N,\N,\N,\N,\N,"0000-00-00 00:00:00",\N
"16","1",\N,\N,\N,\N,\N,\N,\N,"16",\N,\N,"16",\N,"She leaves the Hotel ""Wilden Mann""","She leaves the Hotel ""Wilden Mann""",\N,\N,\N,\N,\N,\N,\N,\N,\N
"17","1","1071","1071","222","10","6002","6002","1","17","5","5","17",\N,"She starts working in a delicatessen sho","She starts working in a delicatessen shop (Spezereiwaren) in Schwyz.","<br>",\N,\N,\N,\N,\N,\N,\N,\N
