"id","story","throughline","story_character_mc","throughline_domain","concern","issue","problem","solution","symptom","response","catalyst","inhibitor","benchmark","signpost1","signpost2","signpost3","signpost4"
"1","1","1","0","4","15","58","230","231","232","229","233","173","209","14","15","16","13"
"2","1","4","1","2","7","25","97","100","99","98","105","45","81","8","5","7","6"
"3","1","3","3","3","11","41","169","172","171","170","169","237","145","12","11","10","12"
"4","1","2",\N,"1","3","10","42","43","44","41","41","109","17","1","2","3","4"
"5","2","1","0","3","10","39","26","155","156","153","157","81","161","11","12","9","10"
"6","2","4","10","1","2","7","26","27","28","25","29","209","33","4","2","1","10"
"7","2","3","11","4","14","55","213","216","215","214","221","17","225","16","13","15","14"
"8","2","2","0","2","6","23","90","91","92","89","81","145","97","5","6","7","8"
"9","3","1",\N,"4","15","59","236","233","234","235","225","165","209","13","14","15","16"
"10","3","4","18","2","7","28","111","110","109","112","97","37","81","6","7","5","8"
"11","3","3","21","3","11","44","167","166","165","168","161","229","145","9","10","11","12"
"12","3","2",\N,"1","3","11","35","34","33","36","33","101","17","1","2","3","4"
"13","5","1",\N,"3","10","37","147","146","148","145","157","217","161","9","10","11","12"
"14","5","4","26","4","14","53","211","210","212","209","221","153","225","14","15","13","16"
"15","5","3","27","1","2","5","23","22","24","21","29","89","42","2","3","4","1"
"16","5","2",\N,"2","6","21","83","82","84","81","93","25","106","6","7","8","5"
"17","6","1",\N,"4","15","60","237","240","238","239","229","41","218","13","15","14","16"
"18","6","4","35","3","11","43","170","171","169","172","165","105","154","9","10","11","12"
"19","6","3","36","2","7","27","109","112","110","111","102","169","90","5","6","7","8"
"20","6","2",\N,"1","3","12","45","48","46","47","37","233","26","4","1","2","3"
"21","7","1",\N,"1","1","1","4","1","3","2","13","193","58","4","2","3","1"
"22","7","4","45","2","5","17","68","65","67","66","77",\N,\N,\N,\N,\N,\N
"23","7","3","47","3","9","33","136","133","135","134","141","65","177","9","10","11","12"
"24","7","2",\N,"4","13","49","196","193","195","194","205","1","241","13","14","15","16"
"25","10","4","53","2","6","21","81","84","82","83","85","17","97","6","8","7","5"
"27","13","4","57","2","5","17","68","65","67","66","65","5","81","8","5","6","7"
