"id","story","step","throughline","domain","concern","issue","theme","sequence","encoding"
"1","1","1","1","4","14",\N,\N,\N,"The story actuall starts its course with Heinrich Peyer's decision to follow Napoleon's war enterprise and Katharina Morel's decision to stand at Heinrich's side."
"2","1","1","2","1","1",\N,\N,\N,"The war enterprise of Napoleon brought back the memories of past glory of the mercenary service."
"3","1","1","3","3","9",\N,\N,\N,"This point was not very much developed in Sprenger-Viol's biography. But it could be said that whenever death stoped her in some activity Katharina Morel would extend her skills and look for new oportunities."
"4","1","1","4","2","8",\N,\N,\N,"Katharina Morel solved her needs in large part by understanding the interests of others and offering a deal as for example when she chartered the ship in Antwerpen."
"5","1","2","1",\N,\N,\N,\N,\N,"Her desire for adventure was detained by the terror of war. She would take the well being of others always into account in her later decisions."
"6","1","2","2",\N,\N,\N,\N,\N,"Katharina Morel had to transport her furnituer to Gorum but had no economic recourses for doing so. When she found out that it was apparently not an easy task for the Swiss Regiment to charter a ship she understood, that her organizational talent was more decisive for her role than her gender and offered to take on this duty."
"7","1","2","3",\N,\N,\N,\N,\N,"For example, Katharina Morel would not accept to stay at home alone and follow her husband into the war. For that reason she would have to redefine her role as a women."
"8","1","2","4",\N,\N,\N,\N,\N,"Katharina Morel had to transport her furnituer to Gorum but had no economic recourses for doing so. When she found out that it was apparently not an easy task for the Swiss Regiment to charter a ship she understood, that her organizational talent was more decisive for her role than her gender and offered to take on this duty."
"9","1","3","1","4","15",\N,\N,\N,"Katharina Morel's innermost desire for a stable home, a family and personal sovereignty balanced the desire of the persons surrounding her.
Heinrich Peyer who desired to live an adeventure and make a career.
Josef Morel had to take on family responsibilities which finally destroyed his business.
The Segesser's wished to embark in a new project and sold the Schweizerhof."
"10","1","3","2","1","4",\N,\N,\N,"«The clamor of many wounded made me wistful, I was even more sad when I saw a dead man who had letters beside him. They were addressed to his parents and his lover here in Visna, I had experienced for the first time the sight of all the shudder of the war.

[Das Geschrei der vielen Blessierten machte mich wehmütig, ich wurde noch trauriger, als ich einen Toten sah, der Briefe neben sich liegen hatte. Sie waren an seine Eltern und seine Geliebte gerichtet Hier, in Visna, hatte ich zum erstenmal den Anblick aller Schauer des Krieges erlebt. (p. 16))»

«Yes, now I know what war is. [Ja, jetzt weiss ich, was Krieg ist). (p. 18)» "
"11","1","3","3","3","10",\N,\N,\N,"Katharina Morel became active in order to remain herself and to purchase her dream."
"12","1","3","4","2","5",\N,\N,\N,"Katharina Morel became active in order to remain herself and to purchase her dream."
"13","1","4","1",\N,\N,\N,\N,\N,"After she had already lost her second husband, the fighting of the suitors and finally the murder of Louis Morel led her to reconsider her desire to marry again."
"14","1","4","2",\N,\N,\N,\N,\N,"Katharina Morel became well aware of the need of political and economic stability through her war experiences which would lead her to invest in the industrial development and economic progress of Luzern."
"15","1","4","3",\N,\N,\N,\N,\N,"Through the constant redefinition and gradual extension of her femal role Katharina Morel managed to be accepted in her role as a great leader in the social, political and business leader in the city of Luzern."
"16","1","4","4",\N,\N,\N,\N,\N,"When she learned that she was able to embark in the most diverse enterprises and that her character and her skills were valued by her male business partners she learnt that her role in a managing position would obtain her the sovereigty and the security which she had searched for in marriage without success."
"17","1","5","1","4","15",\N,\N,\N,"The war enterprise of Napoleon brought back the memories of past glory of the mercenary service."
"18","1","5","2","1","3",\N,\N,\N,"Katharina wished to live in a liberal, prosperous and sovereign Switzerland."
"19","1","5","3","3","10",\N,\N,\N,"Death forced Katharina Morel to redefine her role several times."
"20","1","5","4","2","7",\N,\N,\N,"Katharina Morel was concerned with optaining sovereignty."
"21","1","6","1",\N,\N,\N,\N,\N,"At the height of her prefessional career at the Schweizerhof, and with the positive feeling of sovereingy, the Saint Helena Medal not only rounded up her public success but also brought back said memories. "
"22","1","6","2",\N,\N,\N,\N,\N,"Her vision of the future, motivated Katharina Morel to keep things in the present always in order, keep an ordered bookkeepeing and stay in peace with everybody."
"23","1","6","3",\N,\N,\N,\N,\N,"In a certain way, the hardship in life showed Katharina Morel that everything could become possible if one was willing to face the challenge."
"24","1","6","4",\N,\N,\N,\N,\N,"Her success in her social and professional life affirmed her in the idea that whatever she needed she would only optain it if she worked for it."
"25","1","7","1","4","13",\N,\N,\N,"The war enterprise of Napoleon brought back the memories of past glory of the mercenary service."
"26","1","7","2","1","4",\N,\N,\N,"Material needs at the present keep Katharina Morel constantly on the move."
"27","1","7","3","3","12",\N,\N,\N,"It seemed that one of the central ideas that moved Katharina Morel were that life could be shaped through one's effort, a strong believe in the makeability of things."
"28","1","7","4","2","6",\N,\N,\N,"Katharina Morel believed that problems were best solved through actions."
