"id","story","step","throughline","domain","concern","issue","theme","sequence","encoding"
"1","1","1","1","2","6",\N,\N,\N,"The French Revolution 1789 demonstrated that everything was possible."
"2","1","2","1","2","0",\N,\N,\N,"The passion for liberty turned into a violent character."
"3","1","3","1","2","7",\N,\N,\N,"Skepticism with the liberal project raised conservative opposition."
"4","1","4","1","2","0",\N,\N,\N,"The Sonderbund was defeated by Confederate military force."
"5","1","5","1","2","8",\N,\N,\N,"The liberals, again in power, had learnt to act with decively and coordinatedly. They also learnt to take opposition serious."
"6","1","6","1","2","0",\N,\N,\N,"The conservative direct democratic claims were integrated into the constitution."
"7","1","7","1","2","5",\N,\N,\N,"The Swiss understood that sovereignty lied in the ability to integrate plurality and settle conflicts creatively."
"8","1","1","2","3","9",\N,\N,\N,"The plan to develop a liberal constituional revolution was executed (1798-1830)."
"9","1","2","2","3","0",\N,\N,\N,"The liberal revolution and the Concordate of the Seven pushed a liberal constitution through."
"10","1","3","2","3","10",\N,\N,\N,"The liberals adopt the role of the liberators of the country, buty lack true consideration for the people and the ability to accept the liberty of others."
"11","1","4","2","3","0",\N,\N,\N,"The Sonderbund war was succesful because the liberals had respected life over truth."
"12","1","5","2","3","11",\N,\N,\N,"The liberals learnt that liberty included the respect for the rights of others."
"13","1","6","2","3","0",\N,\N,\N,"New opposition, this time from the communists, was approached by integrating their liberal values into the project of the liberals."
"14","1","7","2","3","12",\N,\N,\N,"The idea was conceived that a (semi-)direct democratic state fform was the most liberal constitution."
"15","1","1","4","4","13",\N,\N,\N,"""I think that I achieved much in my life, and yet I could not stay quiet""."
"16","1","2","4","4","0",\N,\N,\N,"Katharina Morel got a foster daughter."
"17","1","3","4","4","14",\N,\N,\N,"Responsibilities forced Katharina Morel to considerate others and to plan for the future."
"18","1","4","4","4","0",\N,\N,\N,"Accepting her responsibilities, Katharina Morel made the carreer of her life."
"19","1","5","4","4","15",\N,\N,\N,"Kathernia Morel's Innermost Desire was to achieve sovereignty."
"20","1","6","4","4","0",\N,\N,\N,"The limitations of her own finitud made her aware of transcendental values."
"21","1","7","4","4","16",\N,\N,\N,"Katharina Morel was aware that true sovereighnty included the contemplation of caring for others and leaving a heritage."
"22","1","1","3","1","4",\N,\N,\N,"The Church was Constantin Siegwart-Müller's home."
"23","1","2","3","1","0",\N,\N,\N,"Constantin Siegwart-Müller tried to improve the Church and the political system from the insight."
"24","1","3","3","1","2",\N,\N,\N,"The sovereignty of the Church and the development of persoanl faith were threatened."
"25","1","4","3","1","0",\N,\N,\N,"The leader of the conservative movement , Joseph Leu, was murdered."
"26","1","5","3","1","3",\N,\N,\N,"The future was dark, it seemed that violence had won over justice."
"27","1","6","3","1","0",\N,\N,\N,"After around 10 years of exile and constant escapes, Constantin Siegwart-Müller was allowed to return home."
